idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar,xi_gmm_both,own_elasticity_simple_logit,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_multi_over_price,markup_mono_over_price
11,QK,100%Natural,Adult,2.24,0.0196,-2.517120269771655,220,8,13.5,2.55,1.612,1.96,0.2429,1,5,1,665,7281,4,445,6616,13.5,80.4,4,5.5,66.9,47.3,505.4,4,33.8,458.09999999999997,4,50,46,0.3293,0.05952019435165503,-2.821439623145847,25,24,25,4116,3896,3165,52.6,44.6,27.800000000000004,219.6,206.1,285.79999999999995,1.264168100467379,2.5835338234316714,-0.8670294848412861,3.107029484841286,-0.8891586892661055,3.129158689266106,-0.3969458434223685,-0.3870667343041455
12,KG,FrostedMiniWheats,Adult,2.62,0.0184,-2.580299171393187,170,1,10,2.75,6.106,1.84,0.2429,1,2,1,2300,7281,17,2130,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,154,341.4,17,50,33,0.3293,0.055876100819921046,-2.8846185247673786,25,24,25,4116,3946,3165,52.6,51.6,27.800000000000004,219.6,209.6,285.79999999999995,0.5364436703619844,3.0255105509189875,-0.8659695465957589,3.4859695465957588,-1.2606194675046667,3.880619467504667,-0.48115246851323157,-0.3305227277083049
13,KG,NutriGrain,Adult,2.8699999999999997,0.0155,-2.751809812082926,100,1,0,3.1,2.508,1.55,0.2429,1,2,1,2300,7281,17,2200,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,164,341.4,17,50,33,0.3293,0.047069541451563925,-3.0561291654571177,25,24,25,4116,4016,3165,52.6,51.6,27.800000000000004,219.6,219.6,285.79999999999995,0.14502746948399814,3.3239956591667843,-0.8634186967378333,3.733418696737833,-1.2606194675046662,4.1306194675046655,-0.43924023258002315,-0.300842751476597
14,KG,Mueslix,Adult,3.3099999999999996,0.015300000000000001,-2.7647970076097375,200,4,13,3.58,1.9749999999999999,1.53,0.2429,1,2,1,2300,7281,17,2100,4981,19,80.4,17,15,61.400000000000006,164,505.4,17,151,341.4,17,50,33,0.3293,0.046462192529608266,-3.0691163609839287,25,24,25,4116,3916,3165,52.6,48.6,27.800000000000004,219.6,206.6,285.79999999999995,-0.362257586584958,3.8343765719434764,-0.8632433298856472,4.173243329885647,-1.260619467504666,4.570619467504666,-0.38085180287150033,-0.2607985890893194
15,GM,Wheaties,Fam,2.55,0.0152,-2.7713544081558963,110,1,4,2.86,2.257,1.52,0.2429,1,1,2,2550,7281,18,2440,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,198,303.4,18,50,32,0.3069,0.04952753339850114,-3.0052265337734596,13,12,37,1750,1640,5531,14,13,66.4,140,136,365.4,0.6163691768898842,2.9542758962971334,-0.8631556731705898,3.4131556731705897,-1.1454463103872752,3.695446310387275,-0.4491946315244217,-0.33849242085121173
16,PT,RaisinBran,Fam,2.23,0.0146,-2.8116283072938364,190,1,20,2.57,4.361,1.46,0.2429,1,4,2,950,7281,6,760,6331,10.7,80.4,6,9.7,69.7,66.5,505.4,6,46.5,438.9,6,50,44,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750,1560,5531,14,13,66.4,140,120,365.4,1.090028564512851,2.585117286325069,-0.8626301064931975,3.0926301064931976,-0.9139186183618929,3.143918618361893,-0.4098289768438982,-0.38682964416735316
17,RL,Muesli,Adult,3.34,0.0126,-2.9589530220506948,210,2.7,14,3.9299999999999997,0.21500000000000002,1.26,0.2429,1,6,1,330,7281,2,120,6951,2.7,80.4,2,0,77.7,16,505.4,2,2,489.4,2,50,48,0.3293,0.038262982083206803,-3.2632723754248865,25,24,25,4116,3906,3165,52.6,49.9,27.800000000000004,219.6,205.6,285.79999999999995,-0.7062766668531748,3.8797381957967607,-0.8608828306040074,4.200882830604007,-0.8687130372390361,4.208713037239036,-0.2600937237242623,-0.2577493504802417
18,KG,CornPops,Fam,3.51,0.0146,-2.8116283072938364,120,0,14,3.69,3.198,1.46,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,150,341.4,17,50,33,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750,1630,5531,14,14,66.4,140,126,365.4,-0.211044974551986,4.068951423767261,-0.8626301064931975,4.372630106493197,-1.2606194675046667,4.770619467504666,-0.359150845442925,-0.24576356310347508
19,GM,RaisinNutBran,Adult,2.98,0.013500000000000002,-2.889960150563743,210,4.5,16,3.22,1.659,1.35,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,27.799999999999997,48.10000000000001,202,505.4,18,186,303.4,18,50,32,0.3293,0.04099605223200729,-3.194279503937935,25,24,25,4116,3906,3165,52.6,48.1,27.800000000000004,219.6,203.6,285.79999999999995,-0.0014197692733586287,3.4584076598243993,-0.8616682280166212,3.841668228016621,-1.145446310387275,4.125446310387275,-0.384377956505797,-0.28915041208611453
20,GM,Basic4,Adult,3.27,0.0131,-2.9200376058010216,210,3,12,3.63,2.51,1.31,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,29.299999999999997,48.10000000000001,202,505.4,18,190,303.4,18,50,32,0.3293,0.03978135438809596,-3.224356959175213,25,24,25,4116,3906,3165,52.6,49.6,27.800000000000004,219.6,207.6,285.79999999999995,-0.6630742024498191,3.7965028688305162,-0.8613189856504173,4.1313189856504176,-1.1454463103872747,4.415446310387274,-0.3502893915557415,-0.263400301422146
21,GM,CocoaPus,Kids,3.46,0.0128,-2.943204665082556,120,1,14,3.67,2.097,1.28,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,188,303.4,18,50,32,0.1215,0.10534979423868314,-2.2504690918550314,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,131.8,359.59999999999997,-0.21985266836928652,4.018315903813604,-0.8610572396053453,4.321057239605345,-1.1454463103872752,4.605446310387276,-0.3310538469327385,-0.24886047387437726
22,GM,GoldenGrahams,Kids,3.24,0.0124,-2.9749533633971357,120,1,11,3.54,2.953,1.24,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,191,303.4,18,50,32,0.1215,0.10205761316872428,-2.282217790169612,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,134.8,359.59999999999997,-0.13865878251078012,3.7643406904927765,-0.8607084922422001,4.1007084922422,-1.1454463103872752,4.385446310387275,-0.3535328118479244,-0.2656507692105556
23,GM,Cinn.ToastCrunch,Kids,3.36,0.0123,-2.9830505736297557,130,3,10,3.56,2.963,1.23,0.2429,1,1,3,2550,7281,18,2420,4731,32.3,80.4,18,29.299999999999997,48.10000000000001,202,505.4,18,192,303.4,18,50,32,0.1215,0.10123456790123457,-2.2903150004022312,12,11,38,1415,1285,5866,13.8,10.8,66.60000000000001,145.8,135.8,359.59999999999997,-0.2887165808751382,3.9041559935793475,-0.8606213495377107,4.22062134953771,-1.1454463103872752,4.505446310387275,-0.34090663999621285,-0.25613730641003296
24,KG,FrootLoops,Kids,3.53,0.012,-3.007743186220127,120,1,15,3.7600000000000002,3.11,1.2,0.2429,1,2,3,2300,7281,17,2180,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,149,341.4,17,50,33,0.1215,0.09876543209876544,-2.315007612992603,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,130.8,359.59999999999997,-0.3181173136680755,4.102933525653356,-0.8603600272655839,4.390360027265584,-1.260619467504667,4.7906194675046665,-0.3571159964602456,-0.2437280530497405
25,KG,LowFatGranola,Adult,2.68,0.011700000000000002,-3.0330609942044164,190,3,12,3.1,2.327,1.1700000000000002,0.2429,1,2,1,2300,7281,17,2110,4981,19,80.4,17,16,61.400000000000006,164,505.4,17,152,341.4,17,50,33,0.3293,0.03552991193440633,-3.3373803475786077,25,24,25,4116,3926,3165,52.6,49.6,27.800000000000004,219.6,207.6,285.79999999999995,0.07811470130780718,3.115920870594617,-0.8600988636430202,3.5400988636430206,-1.2606194675046671,3.9406194675046673,-0.47038039832263695,-0.3209324118070971
26,GM,Trix,Kids,3.96,0.011300000000000001,-3.067847110289832,120,1.5,13,4.22,3.2359999999999998,1.1300000000000001,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,30.799999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.1215,0.09300411522633746,-2.375111537062308,12,11,38,1415,1295,5866,13.8,12.3,66.60000000000001,145.8,132.8,359.59999999999997,-0.9493552529508897,4.605985334547532,-0.8597508920182025,4.819750892018202,-1.1454463103872754,5.105446310387276,-0.2892541187846655,-0.2171088111157077
27,GM,Triples,Adult,2.3299999999999996,0.011200000000000002,-3.0767360577070777,120,1,6,2.8,3.0359999999999996,1.12,0.2429,1,1,1,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,196,303.4,18,50,32,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116,3996,3165,52.6,51.6,27.800000000000004,219.6,213.6,285.79999999999995,0.586984998593608,2.710361436813108,-0.8596639431011296,3.189663943101129,-1.145446310387275,3.475446310387275,-0.4916078585353112,-0.36895448201765224
28,KG,Crispix,Adult,3.2800000000000002,0.011200000000000002,-3.0767360577070777,110,0,3,3.4899999999999998,3.225,1.12,0.2429,1,2,1,2300,7281,17,2190,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,161,341.4,17,50,33,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116,4006,3165,52.6,52.6,27.800000000000004,219.6,216.6,285.79999999999995,-0.6603708891789615,3.815444426071673,-0.8596639431011296,4.13966394310113,-1.260619467504667,4.540619467504667,-0.3843352035075204,-0.26209266557961264
29,GM,Kix,Kids,3.67,0.0108,-3.113103701877953,120,0.8,6,3.9299999999999997,3.8009999999999997,1.08,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.499999999999996,48.10000000000001,202,505.4,18,196,303.4,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415,1295,5866,13.8,13,66.60000000000001,145.8,139.8,359.59999999999997,-1.0385765330661187,4.270837060569617,-0.8593163232292731,4.529316323229273,-1.1454463103872756,4.8154463103872756,-0.3121107112771868,-0.23414613711969295
30,GM,LuckyCharms,Kids,3.4499999999999997,0.0108,-3.113103701877953,120,1,13,3.72,3.0789999999999997,1.08,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,132.8,359.59999999999997,-0.42661085114006303,4.014819580099505,-0.8593163232292731,4.309316323229273,-1.1454463103872758,4.595446310387276,-0.3320134233006597,-0.24907719513891977
31,GM,AppleCinn.Cheerios,Fam,3.02,0.0106,-3.131795834890106,120,2,13,3.3499999999999996,3.12,1.06,0.2429,1,1,2,2550,7281,18,2430,4731,32.3,80.4,18,30.299999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.3069,0.03453893776474422,-3.365667960507669,13,12,37,1750,1630,5531,14,12,66.4,140,127,365.4,0.12450572401765125,3.5151323357485063,-0.8591426186965807,3.879142618696581,-1.1454463103872756,4.165446310387276,-0.379286857744131,-0.28448431082668235
32,KG,CracklinOatBran,Adult,3.19,0.0106,-3.131795834890106,190,6,15,3.51,2.279,1.06,0.2429,1,2,1,2300,7281,17,2110,4981,19,80.4,17,13,61.400000000000006,164,505.4,17,149,341.4,17,50,33,0.3293,0.03218949286365017,-3.436115188264297,25,24,25,4116,3926,3165,52.6,46.6,27.800000000000004,219.6,204.6,285.79999999999995,-0.2828820459717569,3.713004023522429,-0.8591426186965807,4.049142618696581,-1.2606194675046671,4.4506194675046675,-0.3951785164591433,-0.26932370492055824
33,NB,BigBiscuitShdWt,Adult,2.79,0.009899999999999999,-3.200115078867583,156,1.2,9.6,3.05,0,0.99,0.2429,1,3,1,486,7281,3,330,6795,2.2,80.4,3,1.0000000000000002,78.2,9.6,505.4,3,0,495.79999999999995,3,50,47,0.3293,0.030063771636805344,-3.504434432241774,25,24,25,4116,3960,3165,52.6,51.4,27.800000000000004,219.6,210,285.79999999999995,-0.17793699605470525,3.249721132244381,-0.8585352054725753,3.6485352054725753,-0.8842564308107739,3.674256430810774,-0.3169377888210659,-0.3077187116389159
34,PT,HoneyBunchesofOats,Adult,2.8499999999999996,0.0095000000000000015,-3.241358037401632,125,2.2,6,3.18,3.749,0.9500000000000001,0.2429,1,4,1,950,7281,6,825,6331,10.7,80.4,6,8.5,69.7,66.5,505.4,6,60.5,438.9,6,50,44,0.3293,0.028849073792894024,-3.5456773907758232,25,24,25,4116,3991,3165,52.6,50.4,27.800000000000004,219.6,213.6,285.79999999999995,-0.15266981294346937,3.320948728339221,-0.858188497666226,3.7081884976662254,-0.9139186183618928,3.7639186183618927,-0.3206731994252256,-0.30111877111095653
35,PT,GreatGraines,Adult,2.9,0.0089,-3.306598559270033,215,5.5,10.5,3.4299999999999997,2.648,0.89,0.2429,1,4,1,950,7281,6,735,6331,10.7,80.4,6,5.199999999999999,69.7,66.5,505.4,6,56,438.9,6,50,44,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3901,3165,52.6,47.1,27.800000000000004,219.6,209.1,285.79999999999995,-0.5674562967175176,3.3812579595650982,-0.8576689606885247,3.7576689606885245,-0.9139186183618931,3.813918618361893,-0.31514435115927353,-0.29574791747880164
36,GM,OtmlRaisinCrisp,Adult,2.71,0.0097,-3.22052395049879,210,2.5,19,3.04,1.641,0.97,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,29.799999999999997,48.10000000000001,202,505.4,18,183,303.4,18,50,32,0.3293,0.029456422714849682,-3.5248433038729816,25,24,25,4116,3906,3165,52.6,50.1,27.800000000000004,219.6,200.6,285.79999999999995,0.0036250083522078036,3.1571767845682883,-0.8583618165590193,3.5683618165590194,-1.1454463103872747,3.8554463103872747,-0.4226739152720571,-0.3167386776970551
37,QK,OatSquares,Adult,2.4299999999999997,0.0094,-3.251940146732169,220,3,9,2.71,1.472,0.9400000000000001,0.2429,1,5,1,665,7281,4,445,6616,13.5,80.4,4,10.5,66.9,47.3,505.4,4,38.3,458.09999999999997,4,50,46,0.3293,0.028545399331916188,-3.55625950010636,25,24,25,4116,3896,3165,52.6,49.6,27.800000000000004,219.6,210.6,285.79999999999995,-0.2327149357052849,2.8318316281911784,-0.8581018644643619,3.2881018644643616,-0.8891586892661054,3.3191586892661054,-0.36590892562391175,-0.35312833928574566
38,RL,RiceChex,Adult,3.4,0.0089,-3.306598559270033,120,0,2,3.53,0.8750000000000001,0.89,0.2429,1,6,1,330,7281,2,210,6951,2.7,80.4,2,2.7,77.7,16,505.4,2,14,489.4,2,50,48,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3996,3165,52.6,52.6,27.800000000000004,219.6,217.6,285.79999999999995,-1.160089189922164,3.964233469834943,-0.8576689606885247,4.257668960688525,-0.8687130372390364,4.268713037239037,-0.25550383448206954,-0.2522555766730955
39,GM,TotalRaisinBran,Adult,3,0.0089,-3.306598559270033,180,1,19,3.5,1.874,0.89,0.2429,1,1,1,2550,7281,18,2370,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,183,303.4,18,50,32,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3936,3165,52.6,51.6,27.800000000000004,219.6,200.6,285.79999999999995,-0.27934744397224476,3.4978530616190673,-0.8576689606885247,3.8576689606885246,-1.1454463103872752,4.145446310387275,-0.3818154367957584,-0.2858896535628416
40,KG,Product19,Adult,3.38,0.0089,-3.306598559270033,100,0,4,3.7,1.408,0.89,0.2429,1,2,1,2300,7281,17,2200,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,160,341.4,17,50,33,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,4016,3165,52.6,52.6,27.800000000000004,219.6,215.6,285.79999999999995,-0.8791902487291914,3.9409144494241493,-0.8576689606885247,4.2376689606885245,-1.2606194675046667,4.640619467504667,-0.3729643394984221,-0.253748213221457
41,KG,AppleJacks,Kids,3.64,0.008400000000000001,-3.3644181301588594,120,1,16,3.9099999999999997,1.4649999999999999,0.8400000000000001,0.2429,1,2,3,2300,7281,17,2180,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,148,341.4,17,50,33,0.1215,0.06913580246913581,-2.671682556931335,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,129.8,359.59999999999997,-0.7555752285257582,4.246202801291946,-0.8572364934836596,4.49723649348366,-1.2606194675046665,4.900619467504667,-0.346324029534249,-0.23550453117682954
42,QK,CaptCrunch,Kids,2.55,0.0083,-3.3763943212055745,105,1.5,11.5,2.86,1.714,0.8300000000000001,0.2429,1,5,3,665,7281,4,560,6616,13.5,80.4,4,12,66.9,47.3,505.4,4,35.8,458.09999999999997,4,50,46,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415,1310,5866,13.8,12.3,66.60000000000001,145.8,134.3,359.59999999999997,0.44800919970954434,2.9749750267646906,-0.8571500523730936,3.4071500523730935,-0.8891586892661055,3.4391586892661055,-0.34868968206513945,-0.3361372754404289
43,NB,ShreddedWheat,Adult,2.82,0.008,-3.4132082943282915,160,0.5,0,3,2.925,0.8,0.2429,1,3,1,486,7281,3,326,6795,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.4,3,9.6,495.79999999999995,3,50,47,0.3293,0.024293956878226542,-3.717527647702483,25,24,25,4116,3956,3165,52.6,52.1,27.800000000000004,219.6,219.6,285.79999999999995,-0.9698951645297815,3.2909676348487014,-0.8568908336072549,3.6768908336072545,-0.8842564308107739,3.7042564308107737,-0.3135661102165865,-0.30386199773306916
44,PT,FruityPebbles,Kids,3.21,0.0083,-3.3763943212055745,110,1,12,3.48,1.71,0.8300000000000001,0.2429,1,4,3,950,7281,6,840,6331,10.7,80.4,6,9.7,69.7,66.5,505.4,6,54.5,438.9,6,50,44,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415,1305,5866,13.8,12.8,66.60000000000001,145.8,133.8,359.59999999999997,-0.3761218463438665,3.7449685631037872,-0.8571500523730936,4.067150052373093,-0.9139186183618931,4.123918618361893,-0.28470984995697607,-0.26702493843398556
45,GM,Clusters,Fam,3.14,0.007799999999999999,-3.438526102312581,210,3.5,14,3.52,1.4249999999999998,0.7799999999999999,0.2429,1,1,2,2550,7281,18,2340,4731,32.3,80.4,18,28.799999999999997,48.10000000000001,202,505.4,18,188,303.4,18,50,32,0.3069,0.025415444770283475,-3.672398227930145,13,12,37,1750,1540,5531,14,10.5,66.4,140,126,365.4,-0.8994074289070011,3.6651495632121542,-0.8567181081822182,3.9967181081822183,-1.1454463103872752,4.285446310387275,-0.36479181859467363,-0.27284016184147075
46,KG,CinnamonMiniBuns,Fam,2.75,0.0076,-3.4645015887158417,120,0.5,12,3.14,0.002,0.76,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,18.5,61.400000000000006,164,505.4,17,152,341.4,17,50,33,0.3069,0.02476376669925057,-3.698373714333405,13,12,37,1750,1630,5531,14,13.5,66.4,140,128,365.4,-0.03511108014459152,3.2105710121631175,-0.8565454523764581,3.606545452376458,-1.2606194675046665,4.010619467504666,-0.458407079092606,-0.3114710735914393
47,KG,DoubleDipCrunch,Adult,3.01,0.0073,-3.504775487853782,110,0,11,3.52,1.454,0.73,0.2429,1,2,1,2300,7281,17,2190,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,153,341.4,17,50,33,0.3293,0.02216823565138172,-3.809094841227973,25,24,25,4116,4006,3165,52.6,52.6,27.800000000000004,219.6,208.6,285.79999999999995,-0.3817897423924834,3.515178216174095,-0.8562865991119138,3.8662865991119135,-1.260619467504667,4.270619467504667,-0.41881045432048736,-0.2844805977115993
48,GM,MultiGrainCheerios,Fam,3.34,0.0075,-3.4777468154658626,110,1,15,3.74,2.52,0.75,0.2429,1,1,2,2550,7281,18,2440,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,187,303.4,18,50,32,0.3069,0.024437927663734114,-3.711618941083426,13,12,37,1750,1640,5531,14,13,66.4,140,125,365.4,-0.48453901957234624,3.899777353988541,-0.8564591505676543,4.196459150567654,-1.1454463103872752,4.485446310387275,-0.3429479971219387,-0.2564248953795372
49,PT,Honeycomb,Kids,3.4,0.0074,-3.4911698357980026,110,0,11,3.67,2.567,0.74,0.2429,1,4,3,950,7281,6,840,6331,10.7,80.4,6,10.7,69.7,66.5,505.4,6,55.5,438.9,6,50,44,0.1215,0.060905349794238686,-2.798434262570479,12,11,38,1415,1305,5866,13.8,13.8,66.60000000000001,145.8,134.8,359.59999999999997,-0.8269883462245851,3.970233217796554,-0.8563728661478912,4.256372866147891,-0.913918618361893,4.3139186183618925,-0.2687995936358509,-0.2518743723964386
