"id","firm","product","price","shelf_price","ad_price","share_pct","segment","cals","fat","sugar","share","outside_share","delta","firm_id","segment_id","own_cals","rival_cals","own_fat","rival_fat","own_sugar","rival_sugar","n_products_firm","n_rival_products","nest_share","share_within_nest","log_share_within_nest","n_products_nest","n_same_nest_other","n_rival_nest","nest_own_cals","nest_rival_cals","nest_own_fat","nest_rival_fat","nest_own_sugar","nest_rival_sugar"
36,"GM","OtmlRaisinCrisp",2.71,3.04,1.641,0.97,"Adult",210,2.5,19,0.0097,0.2429,-3.22052395049879,1,1,2340,4731,29.8,48.1,183,303.4,18,32,0.3293,0.0294564227148497,-3.52484330387298,25,24,25,3906,3165,50.1,27.8,200.6,285.8
37,"QK","OatSquares",2.43,2.71,1.472,0.94,"Adult",220,3,9,0.0094,0.2429,-3.25194014673217,5,1,445,6616,10.5,66.9,38.3,458.1,4,46,0.3293,0.0285453993319162,-3.55625950010636,25,24,25,3896,3165,49.6,27.8,210.6,285.8
38,"RL","RiceChex",3.4,3.53,0.875,0.89,"Adult",120,0,2,0.0089,0.2429,-3.30659855927003,6,1,210,6951,2.7,77.7,14,489.4,2,48,0.3293,0.027027027027027,-3.61091791264422,25,24,25,3996,3165,52.6,27.8,217.6,285.8
39,"GM","TotalRaisinBran",3,3.5,1.874,0.89,"Adult",180,1,19,0.0089,0.2429,-3.30659855927003,1,1,2370,4731,31.3,48.1,183,303.4,18,32,0.3293,0.027027027027027,-3.61091791264422,25,24,25,3936,3165,51.6,27.8,200.6,285.8
40,"KG","Product19",3.38,3.7,1.408,0.89,"Adult",100,0,4,0.0089,0.2429,-3.30659855927003,2,1,2200,4981,19,61.4,160,341.4,17,33,0.3293,0.027027027027027,-3.61091791264422,25,24,25,4016,3165,52.6,27.8,215.6,285.8
41,"KG","AppleJacks",3.64,3.91,1.465,0.84,"Kids",120,1,16,0.0084,0.2429,-3.36441813015886,2,3,2180,4981,18,61.4,148,341.4,17,33,0.1215,0.0691358024691358,-2.67168255693134,12,11,38,1295,5866,12.8,66.6,129.8,359.6
42,"QK","CaptCrunch",2.55,2.86,1.714,0.83,"Kids",105,1.5,11.5,0.0083,0.2429,-3.37639432120557,5,3,560,6616,12,66.9,35.8,458.1,4,46,0.1215,0.0683127572016461,-2.68365874797805,12,11,38,1310,5866,12.3,66.6,134.3,359.6
43,"NB","ShreddedWheat",2.82,3,2.925,0.8,"Adult",160,0.5,0,0.008,0.2429,-3.41320829432829,3,1,326,6795,1.7,78.2,9.6,495.8,3,47,0.3293,0.0242939568782265,-3.71752764770248,25,24,25,3956,3165,52.1,27.8,219.6,285.8
44,"PT","FruityPebbles",3.21,3.48,1.71,0.83,"Kids",110,1,12,0.0083,0.2429,-3.37639432120557,4,3,840,6331,9.7,69.7,54.5,438.9,6,44,0.1215,0.0683127572016461,-2.68365874797805,12,11,38,1305,5866,12.8,66.6,133.8,359.6
45,"GM","Clusters",3.14,3.52,1.425,0.78,"Fam",210,3.5,14,0.0078,0.2429,-3.43852610231258,1,2,2340,4731,28.8,48.1,188,303.4,18,32,0.3069,0.0254154447702835,-3.67239822793014,13,12,37,1540,5531,10.5,66.4,126,365.4
46,"KG","CinnamonMiniBuns",2.75,3.14,0.002,0.76,"Fam",120,0.5,12,0.0076,0.2429,-3.46450158871584,2,2,2180,4981,18.5,61.4,152,341.4,17,33,0.3069,0.0247637666992506,-3.69837371433341,13,12,37,1630,5531,13.5,66.4,128,365.4
47,"KG","DoubleDipCrunch",3.01,3.52,1.454,0.73,"Adult",110,0,11,0.0073,0.2429,-3.50477548785378,2,1,2190,4981,19,61.4,153,341.4,17,33,0.3293,0.0221682356513817,-3.80909484122797,25,24,25,4006,3165,52.6,27.8,208.6,285.8
48,"GM","MultiGrainCheerios",3.34,3.74,2.52,0.75,"Fam",110,1,15,0.0075,0.2429,-3.47774681546586,1,2,2440,4731,31.3,48.1,187,303.4,18,32,0.3069,0.0244379276637341,-3.71161894108343,13,12,37,1640,5531,13,66.4,125,365.4
49,"PT","Honeycomb",3.4,3.67,2.567,0.74,"Kids",110,0,11,0.0074,0.2429,-3.491169835798,4,3,840,6331,10.7,69.7,55.5,438.9,6,44,0.1215,0.0609053497942387,-2.79843426257048,12,11,38,1305,5866,13.8,66.6,134.8,359.6
50,"QK","Popeye",1.77,1.77,0,0.67,"Kids",120,1,13.3,0.0067,0.2429,-3.59054230961121,5,3,545,6616,12.5,66.9,34,458.1,4,46,0.1215,0.0551440329218107,-2.89780673638368,12,11,38,1295,5866,12.8,66.6,132.5,359.6
