software,model,metric,value,stata_value,diff_vs_stata,abs_diff_vs_stata,rel_abs_diff_vs_stata
R,Z3,F_eff_MOP,23.97502034613128,23.975019,1.3461312811102744e-06,1.3461312811102744e-06,5.614724564390436e-08
R,Z3,hansen_p,0.000648046518529808,0.00064804649,2.852980796486798e-11,2.852980796486798e-11,4.402432295384855e-08
R,Z4,beta_p,-2.7391523150435546,-2.739152315413157,3.6960257077112146e-10,3.6960257077112146e-10,1.3493319399997398e-10
R,Z4,se_p,2.5405509150683816,2.4388874,0.10166351506838156,0.10166351506838156,0.041684382423059614
R,Z4,pval_p,0.2809567496484499,0.26138842,0.0195683296484499,0.0195683296484499,0.07486303199066699
R,Z4,F_usual,0.9976750084278528,0.9976750084855468,-5.769396071997335e-11,5.769396071997335e-11,5.782841128550646e-11
R,Z4,p_F,0.3229886356012966,0.32298863,5.601296593216176e-09,5.601296593216176e-09,1.734208598369601e-08
R,Z4,F_eff_MOP,0.9976750084844028,0.997675,8.484402846953287e-09,8.484402846953287e-09,8.50417505395373e-09
R,Z5,beta_p,-0.2745000933701198,-0.2745000933709887,8.688605390716475e-13,8.688605390716475e-13,3.165246788813936e-12
R,Z5,se_p,0.1084162812340408,0.10407786,0.00433842123404081,0.00433842123404081,0.041684381616232405
R,Z5,pval_p,0.0113443621837729,0.0083532063,0.002991155883772899,0.002991155883772899,0.35808476126980116
R,Z5,F_usual,24.22237803707465,24.22237803710172,-2.7068125518781017e-11,2.7068125518781017e-11,1.1174842320320668e-12
R,Z5,p_F,6.52138132342645e-08,6.5213811e-08,2.2342645050471503e-15,2.2342645050471503e-15,3.426060324932016e-08
R,Z5,F_eff_MOP,22.863237004636105,22.863237,4.636103057009677e-09,4.636103057009677e-09,2.027754450084945e-10
R,Z5,hansen_p,0.00013873527714087347,0.00013873528,-2.8591265368704127e-12,2.8591265368704127e-12,2.060850374086831e-08
R,Z6,beta_p,-1.2328456510941912,-1.232845651046872,-4.731925962175865e-11,4.731925962175865e-11,3.838214425429287e-11
R,Z6,se_p,0.652079214257158,0.62598538,0.026093834257157944,0.026093834257157944,0.041684414829557107
R,Z6,pval_p,0.0586727025159425,0.048901673,0.009771029515942498,0.009771029515942498,0.19980971849250428
R,Z6,F_usual,1.723808386312882,1.723808386491684,-1.7880208424969624e-10,1.7880208424969624e-10,1.037250344358728e-10
R,Z6,p_F,0.1897084779337492,0.18970847,7.933749213151486e-09,7.933749213151486e-09,4.182074323382339e-08
R,Z6,F_eff_MOP,1.5474461375361055,1.5474461,3.753610555712328e-08,3.753610555712328e-08,2.4256809692514188e-08
R,Z6,hansen_p,0.1577045532477349,0.15770455,3.2477349143356093e-09,3.2477349143356093e-09,2.059379335812194e-08
R,Z7,beta_p,-0.2690889794233249,-0.2690889794417178,1.8392898315511275e-11,1.8392898315511275e-11,6.835247713849615e-11
R,Z7,se_p,0.0884369385491699,0.084898017,0.0035389215491698905,0.0035389215491698905,0.04168438409073666
R,Z7,pval_p,0.0023444915775078,0.0015267226,0.0008177689775077999,0.0008177689775077999,0.5356369110588917
R,Z7,F_usual,17.30943284874199,17.30943284870789,3.410249860280601e-11,3.410249860280601e-11,1.9701684567528555e-12
R,Z7,p_F,1.3429803863833049e-08,1.3429804e-08,-1.361669519577924e-16,1.361669519577924e-16,1.0139161521478078e-08
R,Z7,F_eff_MOP,12.48445455539782,12.484454,5.553978201788823e-07,5.553978201788823e-07,4.448715339724767e-08
R,Z7,hansen_p,0.0013069760534715,0.0013069761,-4.652850001986286e-11,4.652850001986286e-11,3.560011542664235e-08
Python,Z1,beta_p,-1.710860374250842,-1.710860374167694,-8.314793298325185e-11,8.314793298325185e-11,4.8600069437987876e-11
Python,Z1,se_p,0.9790796182384924,0.9406693,0.03841031823849239,0.03841031823849239,0.04083296673814314
Python,Z1,pval_p,0.0805650298531916,0.068946637,0.011618392853191592,0.011618392853191592,0.1685128290331491
