id,firm,product,price,shelf_price,ad_price,share_pct,segment,cals,fat,sugar,share,outside_share,delta,firm_id,segment_id,own_cals,rival_cals,own_fat,rival_fat,own_sugar,rival_sugar,n_products_firm,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,nest_own_cals,nest_rival_cals,nest_own_fat,nest_rival_fat,nest_own_sugar,nest_rival_sugar
26,GM,Trix,3.96,4.22,3.236,1.13,Kids,120.0,1.5,13.0,0.0113,0.2429,-3.067847110289832,1,3,2430.0,4731.0,30.799999999999997,48.10000000000001,189.0,303.40000000000003,18,32,0.1215,0.09300411522633745,-2.3751115370623084,12,11,38,1295.0,5866.0,12.3,66.60000000000001,132.8,359.6
27,GM,Triples,2.33,2.8,3.036,1.12,Adult,120.0,1.0,6.0,0.011200000000000002,0.2429,-3.0767360577070777,1,1,2430.0,4731.0,31.299999999999997,48.10000000000001,196.0,303.40000000000003,18,32,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,3996.0,3165.0,51.6,27.800000000000004,213.6,285.80000000000007
28,KG,Crispix,3.28,3.49,3.225,1.12,Adult,110.0,0.0,3.0,0.011200000000000002,0.2429,-3.0767360577070777,2,1,2190.0,4981.0,19.0,61.400000000000006,161.0,341.40000000000003,17,33,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4006.0,3165.0,52.6,27.800000000000004,216.6,285.80000000000007
29,GM,Kix,3.67,3.93,3.801,1.08,Kids,120.0,0.8,6.0,0.0108,0.2429,-3.113103701877953,1,3,2430.0,4731.0,31.499999999999996,48.10000000000001,196.0,303.40000000000003,18,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1295.0,5866.0,13.0,66.60000000000001,139.8,359.6
30,GM,LuckyCharms,3.45,3.72,3.079,1.08,Kids,120.0,1.0,13.0,0.0108,0.2429,-3.113103701877953,1,3,2430.0,4731.0,31.299999999999997,48.10000000000001,189.0,303.40000000000003,18,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1295.0,5866.0,12.8,66.60000000000001,132.8,359.6
31,GM,AppleCinn.Cheerios,3.02,3.35,3.12,1.06,Fam,120.0,2.0,13.0,0.0106,0.2429,-3.131795834890106,1,2,2430.0,4731.0,30.299999999999997,48.10000000000001,189.0,303.40000000000003,18,32,0.3069,0.03453893776474422,-3.365667960507669,13,12,37,1630.0,5531.0,12.0,66.4,127.0,365.40000000000003
32,KG,CracklinOatBran,3.19,3.51,2.279,1.06,Adult,190.0,6.0,15.0,0.0106,0.2429,-3.131795834890106,2,1,2110.0,4981.0,13.0,61.400000000000006,149.0,341.40000000000003,17,33,0.3293,0.03218949286365017,-3.436115188264297,25,24,25,3926.0,3165.0,46.6,27.800000000000004,204.6,285.80000000000007
33,NB,BigBiscuitShdWt,2.79,3.05,0.0,0.99,Adult,156.0,1.2,9.6,0.009899999999999999,0.2429,-3.200115078867583,3,1,330.0,6795.0,1.0000000000000002,78.2,0.0,495.8,3,47,0.3293,0.030063771636805344,-3.504434432241774,25,24,25,3960.0,3165.0,51.4,27.800000000000004,210.0,285.80000000000007
34,PT,HoneyBunchesofOats,2.85,3.18,3.749,0.95,Adult,125.0,2.2,6.0,0.0095,0.2429,-3.241358037401632,4,1,825.0,6331.0,8.5,69.7,60.5,438.90000000000003,6,44,0.3293,0.028849073792894017,-3.5456773907758237,25,24,25,3991.0,3165.0,50.4,27.800000000000004,213.6,285.80000000000007
35,PT,GreatGraines,2.9,3.43,2.648,0.89,Adult,215.0,5.5,10.5,0.0089,0.2429,-3.306598559270033,4,1,735.0,6331.0,5.199999999999999,69.7,56.0,438.90000000000003,6,44,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,3901.0,3165.0,47.1,27.800000000000004,209.1,285.80000000000007
36,GM,OtmlRaisinCrisp,2.71,3.04,1.641,0.97,Adult,210.0,2.5,19.0,0.0097,0.2429,-3.22052395049879,1,1,2340.0,4731.0,29.799999999999997,48.10000000000001,183.0,303.40000000000003,18,32,0.3293,0.029456422714849682,-3.5248433038729816,25,24,25,3906.0,3165.0,50.1,27.800000000000004,200.6,285.80000000000007
37,QK,OatSquares,2.43,2.71,1.472,0.94,Adult,220.0,3.0,9.0,0.009399999999999999,0.2429,-3.251940146732169,5,1,445.0,6616.0,10.5,66.9,38.3,458.1,4,46,0.3293,0.028545399331916185,-3.5562595001063606,25,24,25,3896.0,3165.0,49.6,27.800000000000004,210.6,285.80000000000007
38,RL,RiceChex,3.4,3.53,0.875,0.89,Adult,120.0,0.0,2.0,0.0089,0.2429,-3.306598559270033,6,1,210.0,6951.0,2.7,77.7,14.0,489.40000000000003,2,48,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,3996.0,3165.0,52.6,27.800000000000004,217.6,285.80000000000007
39,GM,TotalRaisinBran,3.0,3.5,1.874,0.89,Adult,180.0,1.0,19.0,0.0089,0.2429,-3.306598559270033,1,1,2370.0,4731.0,31.299999999999997,48.10000000000001,183.0,303.40000000000003,18,32,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,3936.0,3165.0,51.6,27.800000000000004,200.6,285.80000000000007
40,KG,Product19,3.38,3.7,1.408,0.89,Adult,100.0,0.0,4.0,0.0089,0.2429,-3.306598559270033,2,1,2200.0,4981.0,19.0,61.400000000000006,160.0,341.40000000000003,17,33,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4016.0,3165.0,52.6,27.800000000000004,215.6,285.80000000000007
41,KG,AppleJacks,3.64,3.91,1.465,0.84,Kids,120.0,1.0,16.0,0.0084,0.2429,-3.3644181301588594,2,3,2180.0,4981.0,18.0,61.400000000000006,148.0,341.40000000000003,17,33,0.1215,0.0691358024691358,-2.6716825569313354,12,11,38,1295.0,5866.0,12.8,66.60000000000001,129.8,359.6
42,QK,CaptCrunch,2.55,2.86,1.714,0.83,Kids,105.0,1.5,11.5,0.0083,0.2429,-3.3763943212055745,5,3,560.0,6616.0,12.0,66.9,35.8,458.1,4,46,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1310.0,5866.0,12.3,66.60000000000001,134.3,359.6
43,NB,ShreddedWheat,2.82,3.0,2.925,0.8,Adult,160.0,0.5,0.0,0.008,0.2429,-3.4132082943282915,3,1,326.0,6795.0,1.7000000000000002,78.2,9.6,495.8,3,47,0.3293,0.024293956878226542,-3.717527647702483,25,24,25,3956.0,3165.0,52.1,27.800000000000004,219.6,285.80000000000007
44,PT,FruityPebbles,3.21,3.48,1.71,0.83,Kids,110.0,1.0,12.0,0.0083,0.2429,-3.3763943212055745,4,3,840.0,6331.0,9.7,69.7,54.5,438.90000000000003,6,44,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1305.0,5866.0,12.8,66.60000000000001,133.8,359.6
45,GM,Clusters,3.14,3.52,1.425,0.78,Fam,210.0,3.5,14.0,0.0078000000000000005,0.2429,-3.438526102312581,1,2,2340.0,4731.0,28.799999999999997,48.10000000000001,188.0,303.40000000000003,18,32,0.3069,0.02541544477028348,-3.6723982279301444,13,12,37,1540.0,5531.0,10.5,66.4,126.0,365.40000000000003
46,KG,CinnamonMiniBuns,2.75,3.14,0.002,0.76,Fam,120.0,0.5,12.0,0.0076,0.2429,-3.4645015887158417,2,2,2180.0,4981.0,18.5,61.400000000000006,152.0,341.40000000000003,17,33,0.3069,0.02476376669925057,-3.698373714333405,13,12,37,1630.0,5531.0,13.5,66.4,128.0,365.40000000000003
47,KG,DoubleDipCrunch,3.01,3.52,1.454,0.73,Adult,110.0,0.0,11.0,0.0073,0.2429,-3.504775487853782,2,1,2190.0,4981.0,19.0,61.400000000000006,153.0,341.40000000000003,17,33,0.3293,0.02216823565138172,-3.809094841227973,25,24,25,4006.0,3165.0,52.6,27.800000000000004,208.6,285.80000000000007
48,GM,MultiGrainCheerios,3.34,3.74,2.52,0.75,Fam,110.0,1.0,15.0,0.0075,0.2429,-3.4777468154658626,1,2,2440.0,4731.0,31.299999999999997,48.10000000000001,187.0,303.40000000000003,18,32,0.3069,0.024437927663734114,-3.711618941083426,13,12,37,1640.0,5531.0,13.0,66.4,125.0,365.40000000000003
49,PT,Honeycomb,3.4,3.67,2.567,0.74,Kids,110.0,0.0,11.0,0.0074,0.2429,-3.4911698357980026,4,3,840.0,6331.0,10.7,69.7,55.5,438.90000000000003,6,44,0.1215,0.060905349794238686,-2.798434262570479,12,11,38,1305.0,5866.0,13.8,66.60000000000001,134.8,359.6
50,QK,Popeye,1.77,1.77,0.0,0.67,Kids,120.0,1.0,13.3,0.0067,0.2429,-3.590542309611207,5,3,545.0,6616.0,12.5,66.9,34.0,458.1,4,46,0.1215,0.0551440329218107,-2.8978067363836826,12,11,38,1295.0,5866.0,12.8,66.60000000000001,132.5,359.6
