idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar
23,GM,Cinn.ToastCrunch,Kids,3.36,0.0123,-2.9830505736297557,130.0,3.0,10.0,3.56,2.963,1.23,0.2429,1.0,1,3,2550.0,7281.0,18,2420.0,4731.0,32.3,80.4,18,29.299999999999997,48.10000000000001,202.0,505.40000000000003,18,192.0,303.40000000000003,18,50,32,0.1215,0.10123456790123457,-2.2903150004022312,12,11,38,1415.0,1285.0,5866.0,13.8,10.8,66.60000000000001,145.8,135.8,359.6
24,KG,FrootLoops,Kids,3.53,0.012,-3.007743186220127,120.0,1.0,15.0,3.76,3.11,1.2,0.2429,1.0,2,3,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,149.0,341.40000000000003,17,50,33,0.1215,0.09876543209876544,-2.315007612992603,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,130.8,359.6
25,KG,LowFatGranola,Adult,2.68,0.011699999999999999,-3.0330609942044164,190.0,3.0,12.0,3.1,2.327,1.17,0.2429,1.0,2,1,2300.0,7281.0,17,2110.0,4981.0,19.0,80.4,17,16.0,61.400000000000006,164.0,505.40000000000003,17,152.0,341.40000000000003,17,50,33,0.3293,0.035529911934406314,-3.337380347578608,25,24,25,4116.0,3926.0,3165.0,52.6,49.6,27.800000000000004,219.6,207.6,285.80000000000007
26,GM,Trix,Kids,3.96,0.0113,-3.067847110289832,120.0,1.5,13.0,4.22,3.236,1.13,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,30.799999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.1215,0.09300411522633745,-2.3751115370623084,12,11,38,1415.0,1295.0,5866.0,13.8,12.3,66.60000000000001,145.8,132.8,359.6
27,GM,Triples,Adult,2.33,0.011200000000000002,-3.0767360577070777,120.0,1.0,6.0,2.8,3.036,1.12,0.2429,1.0,1,1,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,196.0,303.40000000000003,18,50,32,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116.0,3996.0,3165.0,52.6,51.6,27.800000000000004,219.6,213.6,285.80000000000007
28,KG,Crispix,Adult,3.28,0.011200000000000002,-3.0767360577070777,110.0,0.0,3.0,3.49,3.225,1.12,0.2429,1.0,2,1,2300.0,7281.0,17,2190.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,161.0,341.40000000000003,17,50,33,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116.0,4006.0,3165.0,52.6,52.6,27.800000000000004,219.6,216.6,285.80000000000007
29,GM,Kix,Kids,3.67,0.0108,-3.113103701877953,120.0,0.8,6.0,3.93,3.801,1.08,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.499999999999996,48.10000000000001,202.0,505.40000000000003,18,196.0,303.40000000000003,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415.0,1295.0,5866.0,13.8,13.0,66.60000000000001,145.8,139.8,359.6
30,GM,LuckyCharms,Kids,3.45,0.0108,-3.113103701877953,120.0,1.0,13.0,3.72,3.079,1.08,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,132.8,359.6
31,GM,AppleCinn.Cheerios,Fam,3.02,0.0106,-3.131795834890106,120.0,2.0,13.0,3.35,3.12,1.06,0.2429,1.0,1,2,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,30.299999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.3069,0.03453893776474422,-3.365667960507669,13,12,37,1750.0,1630.0,5531.0,14.0,12.0,66.4,140.0,127.0,365.40000000000003
32,KG,CracklinOatBran,Adult,3.19,0.0106,-3.131795834890106,190.0,6.0,15.0,3.51,2.279,1.06,0.2429,1.0,2,1,2300.0,7281.0,17,2110.0,4981.0,19.0,80.4,17,13.0,61.400000000000006,164.0,505.40000000000003,17,149.0,341.40000000000003,17,50,33,0.3293,0.03218949286365017,-3.436115188264297,25,24,25,4116.0,3926.0,3165.0,52.6,46.6,27.800000000000004,219.6,204.6,285.80000000000007
