modelo,parametro,estimativa_PY,erro_padrao_PY,estat_t_PY,estimativa_Stata,erro_padrao_Stata,estat_t_Stata,dif_estimativa,abs_dif_estimativa,dif_erro_padrao,abs_dif_erro_padrao,dif_estat_t,abs_dif_estat_t
homogeneidade,b_fish,-0.0532981871135689,0.0523321174354068,-1.018460359058747,-0.0532981891247476,0.052332129,-1.0184602,2.011178695804361e-09,2.011178695804361e-09,-1.1564593199731021e-08,1.1564593199731021e-08,-1.5905874706234613e-07,1.5905874706234613e-07
homogeneidade,b_pork,-0.0995701860382496,0.0723042740120379,-1.3770995891843432,-0.099570224533257,0.072304264,-1.3771003,3.8495007403938075e-08,3.8495007403938075e-08,1.001203790707006e-08,1.001203790707006e-08,7.108156567792179e-07,7.108156567792179e-07
homogeneidade,gbfvl_bfvl,0.1084359508824945,0.0785521243993957,1.3804330781832892,0.108436053053652,0.078552119,1.3804344,-1.0217115750665862e-07,1.0217115750665862e-07,5.399395694438702e-09,5.399395694438702e-09,-1.3218167107531542e-06,1.3218167107531542e-06
homogeneidade,gbfvl_fish,-0.3287453675573708,0.0547383140927731,-6.005763476752271,-0.3287454581658706,0.054738313,-6.0057654,9.060849975872642e-08,9.060849975872642e-08,1.0927731011745045e-09,1.0927731011745045e-09,1.923247728186084e-06,1.923247728186084e-06
homogeneidade,gbfvl_pork,0.2872875223750952,0.2306186927515774,1.2457252226494993,0.2872880220744511,0.23061867,1.2457275,-4.99699355893668e-07,4.99699355893668e-07,2.2751577399837686e-08,2.2751577399837686e-08,-2.277350500845543e-06,2.277350500845543e-06
homogeneidade,gfish_bfvl,-0.05177662210329,0.023413592245671,-2.211391637815128,-0.0517766176195356,0.023413595,-2.2113912,-4.483754402484497e-09,4.483754402484497e-09,-2.7543289975173746e-09,2.7543289975173746e-09,-4.3781512815144197e-07,4.3781512815144197e-07
homogeneidade,gfish_fish,0.1545446021408683,0.0163155430382424,9.472231587917566,0.1545446033163018,0.016315544,9.4722309,-1.175433500533174e-09,1.175433500533174e-09,-9.617576006426543e-10,9.617576006426543e-10,6.879175664664672e-07,6.879175664664672e-07
homogeneidade,gfish_pork,-0.1194427234530053,0.0687392235105076,-1.737621075029267,-0.1194427610815309,0.068739228,-1.7376215,3.7628525600963414e-08,3.7628525600963414e-08,-4.489492402837136e-09,4.489492402837136e-09,4.2497073282632414e-07,4.2497073282632414e-07
homogeneidade,gpork_bfvl,-0.1006681849846202,0.0323492125351872,-3.1119207268220337,-0.1006681800419162,0.032349203,-3.1119215,-4.942703996091424e-09,4.942703996091424e-09,9.535187202314166e-09,9.535187202314166e-09,7.731779660957727e-07,7.731779660957727e-07
homogeneidade,gpork_fish,-0.0060563189851858,0.0225422465648627,-0.2686652800003542,-0.0060563321222552,0.02254224,-0.26866594,1.3137069400197265e-08,1.3137069400197265e-08,6.5648626985936875e-09,6.5648626985936875e-09,6.59999645769016e-07,6.59999645769016e-07
homogeneidade,gpork_pork,-0.0190293078022705,0.094973027953725,-0.2003653901773292,-0.0190292034460982,0.094972998,-0.20036437,-1.0435617229728744e-07,1.0435617229728744e-07,2.995372500036453e-08,2.995372500036453e-08,-1.020177329197347e-06,1.020177329197347e-06
