modelo,parametro,estimativa_R,erro_padrao_R,estat_t_R,estimativa_Stata,erro_padrao_Stata,estat_t_Stata,dif_estimativa,abs_dif_estimativa,dif_erro_padrao,abs_dif_erro_padrao,dif_estat_t,abs_dif_estat_t
homogeneidade,gpork_bfvl,-0.10066818498474106,0.03234921253519148,-3.1119207268253577,-0.1006681800419162,0.032349203,-3.1119215,-4.9428248577454426e-9,4.9428248577454426e-9,9.53519147667281e-9,9.53519147667281e-9,7.73174642088037e-7,7.73174642088037e-7
homogeneidade,gpork_pork,-0.01902930780255474,0.09497302795372768,-0.2003653901803164,-0.0190292034460982,0.094972998,-0.20036437000000001,-1.0435645653866787e-7,1.0435645653866787e-7,2.9953727678777575e-8,2.9953727678777575e-8,-1.0201803163911727e-6,1.0201803163911727e-6
homogeneidade,gpork_fish,-0.00605631898516989,0.0225422465648635,-0.2686652799996364,-0.0060563321222552,0.02254224,-0.26866594,1.3137085310213625e-8,1.3137085310213625e-8,6.5648635000359334e-9,6.5648635000359334e-9,6.600003635837126e-7,6.600003635837126e-7
homogeneidade,b_pork,-0.09957018603961389,0.07230427401207422,-1.3770995892025204,-0.099570224533257,0.072304264,-1.3771003,3.849364312025205e-8,3.849364312025205e-8,1.0012074225240752e-8,1.0012074225240752e-8,7.107974795417249e-7,7.107974795417249e-7
homogeneidade,a_fish,0.18775528082414897,0.0703390406756919,2.6692897574452465,0.1877552835908912,0.070339054,2.6692894,-2.766742224213914e-9,2.766742224213914e-9,-1.3324308101303473e-8,1.3324308101303473e-8,3.5744524673475553e-7,3.5744524673475553e-7
homogeneidade,gfish_bfvl,-0.05177662210327583,0.02341359224567323,-2.211391637814313,-0.0517766176195356,0.023413595,-2.2113912,-4.483740226324251e-9,4.483740226324251e-9,-2.7543267701324314e-9,2.7543267701324314e-9,-4.378143128036527e-7,4.378143128036527e-7
homogeneidade,gfish_pork,-0.11944272345266428,0.06873922351050338,-1.7376210750244128,-0.1194427610815309,0.068739228,-1.7376215,3.7628866619843215e-8,3.7628866619843215e-8,-4.48949662168463e-9,4.48949662168463e-9,4.24975587165477e-7,4.24975587165477e-7
homogeneidade,gfish_fish,0.15454460214086296,0.01631554303824101,9.472231587918053,0.1545446033163018,0.016315544,9.4722309,-1.1754388296036922e-9,1.1754388296036922e-9,-9.61758991890882e-10,9.61758991890882e-10,6.879180531882412e-7,6.879180531882412e-7
homogeneidade,b_fish,-0.05329818711288681,0.05233211743538922,-1.0184603590460548,-0.0532981891247476,0.052332129,-1.0184602,2.011860789075115e-9,2.011860789075115e-9,-1.156461077594928e-8,1.156461077594928e-8,-1.59046054770684e-7,1.59046054770684e-7
homog_simetria,a_bfvl,0.29242215845373565,0.2728471045061572,1.071743674843127,0.2924221963525899,0.27284706,1.071744,-3.789885427707418e-8,3.789885427707418e-8,4.45061572040828e-8,4.45061572040828e-8,-3.251568729822907e-7,3.251568729822907e-7
homog_simetria,a_pork,0.37566354542213176,0.09804858586733262,3.831401973817693,0.3756636242966219,0.098048598,3.8314023,-7.887449016141801e-8,7.887449016141801e-8,-1.2132667384645579e-8,1.2132667384645579e-8,-3.261823069422576e-7,3.261823069422576e-7
homog_simetria,a_fish,0.1742444281645135,0.14704302026200744,1.184989453114044,0.1742442000069364,0.147043,1.184988,2.2815757708127826e-7,2.2815757708127826e-7,2.026200743299178e-8,2.026200743299178e-8,1.4531140439810741e-6,1.4531140439810741e-6
homog_simetria,g11,-0.1072270709454779,0.06424490330831516,-1.669036225813723,-0.1072270640147223,0.064244896,-1.6690364,-6.930755594436455e-9,6.930755594436455e-9,7.308315161380641e-9,7.308315161380641e-9,1.7418627695775513e-7,1.7418627695775513e-7
homog_simetria,g12,-0.1023289183447078,0.03245417786897844,-3.1530275934834147,-0.1023288381477942,0.032454178,-3.1530252,-8.019691359606451e-8,8.019691359606451e-8,-1.3102156165567536e-10,1.3102156165567536e-10,-2.39348341457557e-6,2.39348341457557e-6
homog_simetria,g14,-0.1495250655983501,0.02598719159212371,-5.753798561429341,-0.1495250782698731,0.025987189,-5.7537994,1.2671522997553808e-8,1.2671522997553808e-8,2.592123710121186e-9,2.592123710121186e-9,8.385706591340636e-7,8.385706591340636e-7
homog_simetria,g22,-0.01652882659740839,0.09559574539384633,-0.1729033706396769,-0.0165286500673276,0.095595747,-0.17290153,-1.7653008078932775e-7,1.7653008078932775e-7,-1.6061536683986688e-9,1.6061536683986688e-9,-1.8406396768977373e-6,1.8406396768977373e-6
homog_simetria,g24,-0.00596330703538328,0.02262733461618738,-0.2635443871995947,-0.0059633676362441,0.022627335,-0.26354706,6.060086081994404e-8,6.060086081994404e-8,-3.8381261710518366e-10,3.8381261710518366e-10,2.6728004052789522e-6,2.6728004052789522e-6
homog_simetria,g44,0.16790334974552223,0.01678345619992347,10.004098544749551,0.1679033684319805,0.016783455,10.0041,-1.8686458269634443e-8,1.8686458269634443e-8,1.1999234696136174e-9,1.1999234696136174e-9,-1.4552504481457618e-6,1.4552504481457618e-6
homog_simetria,b_bfvl,0.13073262050369294,0.2030335252812265,0.6438967176608499,0.1307325924485991,0.20303349,0.6438967,2.8055093831413913e-8,2.8055093831413913e-8,3.528122649587573e-8,3.528122649587573e-8,1.766084989363037e-8,1.766084989363037e-8
homog_simetria,b_pork,-0.09945661770693091,0.07294798854156084,-1.3633908171473057,-0.0994566761991388,0.072948001,-1.3633914,5.849220788278764e-8,5.849220788278764e-8,-1.2458439155316192e-8,1.2458439155316192e-8,5.828526943307821e-7,5.828526943307821e-7
homog_simetria,b_fish,-0.04331456891742391,0.10940933929406146,-0.3958946210341931,-0.0433143990521144,0.10940933,-0.3958931,-1.6986530951279555e-7,1.6986530951279555e-7,9.294061464881764e-9,9.294061464881764e-9,-1.521034193097126e-6,1.521034193097126e-6
homog_simetria_L2,a_bfvl,0.2091402369305193,0.281918613397591,0.7418461463400005,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,a_pork,0.3779741503089653,0.09750191505147106,3.876581809797618,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,a_fish,0.1941037808838928,0.15093563077333913,1.2860037082654097,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g11,-0.11064329750885672,0.06260607842806967,-1.767293213165854,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g12,-0.09823635031531353,0.02901359142708937,-3.3858734987076553,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g14,-0.1452786997452688,0.02589822361266284,-5.609600948623957,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g22,-0.01501344866129761,0.06848736903990496,-0.2192148548230821,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g24,0.00344495281529777,0.016053979137061362,0.21458560434683385,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,g44,0.16646432152534452,0.01712998396267332,9.717716133773072,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,b_bfvl,0.19322087031380164,0.20994273130240393,0.9203503694323384,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,b_pork,-0.10154172929921046,0.07262245814141789,-1.398213884491186,NA,NA,NA,NA,NA,NA,NA,NA,NA
homog_simetria_L2,b_fish,-0.05829732715585578,0.11238672903330094,-0.518720739159353,NA,NA,NA,NA,NA,NA,NA,NA,NA
