year,produto,observado,previsto,residuo
1997,Pescados,0.13367439922937624,0.15044347718139658,-0.016769077952020345
1998,Pescados,0.1369774170389802,0.15413742472825004,-0.01716000768926984
1999,Pescados,0.13838080952395826,0.15343930588518406,-0.015058496361225804
2000,Pescados,0.13877342781439894,0.14832907160231013,-0.009555643787911183
2001,Pescados,0.13083642735121012,0.13727949270685696,-0.006443065355646843
2002,Pescados,0.1321659179312896,0.1329231513958039,-0.000757233464514312
2003,Pescados,0.13441313216042736,0.12190227751679308,0.012510854643634273
2004,Pescados,0.12730786611132214,0.10770380034986902,0.019604065761453113
2005,Pescados,0.12614000083960142,0.10868951259001115,0.017450488249590265
2006,Pescados,0.13393997183427228,0.11531697271142469,0.018622999122847594
2007,Pescados,0.13313860886744272,0.11571314299315694,0.017425465874285784
2008,Pescados,0.1368506059942717,0.11944676075741686,0.017403845236854842
2009,Pescados,0.1428480320004203,0.12761310961273326,0.015234922387687033
2010,Pescados,0.14305385288345643,0.1256480501822249,0.017405802701231515
